FID,IID,SOL,C1,C2
HG00403,HG00403,0,0.010722,0.0059891
HG00404,HG00404,1,0.0130424,0.00401195
HG00406,HG00406,2,0.0105415,0.005994
HG00407,HG00407,3,0.00900834,0.00222771
HG00409,HG00409,4,0.0111211,-0.00448043
HG00410,HG00410,5,0.0120603,-0.00901833
HG00419,HG00419,6,0.0109758,0.00951916
HG00421,HG00421,7,0.0107488,0.00221347
HG00422,HG00422,8,0.0107441,0.00896458
HG00428,HG00428,9,0.0139233,0.00477924
HG00436,HG00436,10,0.00999011,0.00652542
HG00437,HG00437,11,0.0120994,0.00288889
HG00442,HG00442,12,0.00891218,0.0095204
HG00443,HG00443,13,0.0100223,0.00828184
HG00445,HG00445,14,0.0114942,-0.000192403
HG00446,HG00446,15,0.0122629,0.00738102
HG00448,HG00448,16,0.0112997,0.0110678
HG00449,HG00449,17,0.0116346,0.00682579
HG00451,HG00451,18,0.0146872,0.00556592
HG00452,HG00452,19,0.011343,0.00752052
HG00457,HG00457,20,0.0103414,0.00809134
HG00458,HG00458,21,0.013627,0.00640342
HG00463,HG00463,22,0.0103924,0.00694578
HG00464,HG00464,23,0.0123099,0.00881879
HG00472,HG00472,24,0.0115305,0.00319109
HG00473,HG00473,25,0.0107922,0.00930188
HG00475,HG00475,26,0.0159158,0.0139874
HG00476,HG00476,27,0.0126445,0.0096233
HG00478,HG00478,28,0.0116029,0.00499097
HG00479,HG00479,29,0.011334,0.00898753
HG00500,HG00500,30,0.0172141,0.00951162
HG00513,HG00513,31,0.0109403,0.00632681
HG00524,HG00524,32,0.0118308,0.013339
HG00525,HG00525,33,0.0144861,0.00371063
HG00530,HG00530,34,0.0130999,0.00687055
HG00531,HG00531,35,0.00960796,0.00689484
HG00533,HG00533,36,0.0119379,0.00490812
HG00534,HG00534,37,0.0115373,0.0104043
HG00536,HG00536,38,0.0105373,0.00394071
HG00537,HG00537,39,0.0128768,0.00603717
HG00542,HG00542,40,0.0150177,0.0139233
HG00543,HG00543,41,0.00767784,0.00303344
HG00556,HG00556,42,0.0130283,0.000482172
HG00557,HG00557,43,0.0156184,0.00319683
HG00559,HG00559,44,0.0164786,-0.00502156
HG00560,HG00560,45,0.0133347,-0.000962236
HG00565,HG00565,46,0.0150296,-0.000533503
HG00566,HG00566,47,0.0153752,-0.00585756
HG00580,HG00580,48,0.0155414,-0.000749523
HG00581,HG00581,49,0.0158314,0.0135438
HG00583,HG00583,50,0.00491518,0.00222285
HG00584,HG00584,51,0.0162079,0.00514001
HG00589,HG00589,52,0.0122288,0.00578597
HG00590,HG00590,53,0.0088372,0.00419967
HG00592,HG00592,54,0.030825,-0.00767765
HG00593,HG00593,55,0.014253,-0.00609295
HG00595,HG00595,56,0.0137315,-0.00647736
HG00596,HG00596,57,0.0142248,-0.00208279
HG00598,HG00598,58,0.0122292,-0.0115941
HG00599,HG00599,59,0.0195111,-0.00927055
HG00607,HG00607,60,0.0154067,0.0106418
HG00608,HG00608,61,0.0119717,0.00754322
HG00610,HG00610,62,0.0161342,-0.000205484
HG00611,HG00611,63,0.0136603,0.00506305
HG00613,HG00613,64,0.0139742,0.00900178
HG00614,HG00614,65,0.0158706,0.00977709
HG00619,HG00619,66,0.015071,0.00679158
HG00620,HG00620,67,0.0138491,0.000160733
HG00622,HG00622,68,0.0134419,-0.00580546
HG00623,HG00623,69,0.0153443,-0.0115173
HG00625,HG00625,70,0.0063619,0.00276599
HG00626,HG00626,71,0.0161594,-0.00395744
HG00628,HG00628,72,0.0143436,0.00156713
HG00629,HG00629,73,0.0144465,0.000692054
HG00631,HG00631,74,0.0152785,-0.0118023
HG00632,HG00632,75,0.0134964,-0.00551913
HG00634,HG00634,76,0.0157141,-0.00420298
HG00650,HG00650,77,0.00118735,0.00822575
HG00651,HG00651,78,0.00342182,0.00978712
HG00653,HG00653,79,0.00333036,0.00534613
HG00654,HG00654,80,0.00562041,0.011396
HG00656,HG00656,81,0.00178451,0.0104967
HG00657,HG00657,82,0.00476664,0.00876028
HG00662,HG00662,83,0.00652412,0.0108039
HG00663,HG00663,84,0.00314225,0.00649084
HG00671,HG00671,85,0.00361584,0.00455948
HG00672,HG00672,86,0.00407319,0.00939942
HG00674,HG00674,87,0.00386667,-0.00249114
HG00675,HG00675,88,0.00360305,-0.00667634
HG00683,HG00683,89,0.00367942,0.00559007
HG00684,HG00684,90,0.00460615,0.00590768
HG00689,HG00689,91,0.00678286,0.00471606
HG00690,HG00690,92,0.00213909,0.00448297
HG00692,HG00692,93,0.00175337,0.00336886
HG00693,HG00693,94,0.00533125,0.00735337
HG00698,HG00698,95,0.00318176,0.00996105
HG00699,HG00699,96,0.00624601,0.00714713
HG00701,HG00701,97,0.00711864,0.00434799
HG00704,HG00704,98,0.00425218,0.0103731
HG00705,HG00705,99,0.00497932,0.00746625
HG00707,HG00707,100,0.00301009,0.00762053
HG00708,HG00708,101,0.00445299,0.00740747
HG00717,HG00717,102,0.00352926,-0.0101664
HG00728,HG00728,103,0.00182195,-0.00491613
HG00729,HG00729,104,0.00212729,-0.00919385
HG00759,HG00759,105,-0.0213319,0.0102226
HG00766,HG00766,106,-0.0226535,0.021965
HG00844,HG00844,107,-0.0235701,0.0143837
HG00851,HG00851,108,-0.0235874,0.0230416
HG00864,HG00864,109,-0.0201953,0.010365
HG00867,HG00867,110,-0.0224543,0.0160323
HG00879,HG00879,111,-0.0221079,0.0177874
HG00881,HG00881,112,-0.0230824,0.0197687
HG00956,HG00956,113,-0.0174081,0.0113813
HG00978,HG00978,114,-0.0174543,0.00660553
HG00982,HG00982,115,-0.022927,0.0141687
HG01028,HG01028,116,-0.0217328,0.0119214
HG01029,HG01029,117,-0.0218697,0.0143471
HG01031,HG01031,118,-0.0217329,0.0156015
HG01046,HG01046,119,-0.0228364,0.0119452
HG01595,HG01595,120,-0.0107242,-0.00982726
HG01596,HG01596,121,-0.0148239,-0.0104755
HG01597,HG01597,122,-0.0137621,-0.0130388
HG01598,HG01598,123,-0.0147756,-0.0135755
HG01599,HG01599,124,-0.0120843,-0.0044423
HG01600,HG01600,125,-0.0117729,-0.00428063
HG01794,HG01794,126,-0.0224854,0.0130572
HG01795,HG01795,127,-0.0202534,0.00436611
HG01796,HG01796,128,-0.022774,0.0193573
HG01797,HG01797,129,-0.024492,0.0100343
HG01798,HG01798,130,0.00860455,0.00664257
HG01799,HG01799,131,-0.0241923,0.0165036
HG01800,HG01800,132,-0.020474,0.0160765
HG01801,HG01801,133,-0.0216106,0.0142802
HG01802,HG01802,134,-0.0163157,0.0116997
HG01804,HG01804,135,-0.0208062,0.0153047
HG01805,HG01805,136,-0.021174,0.00949036
HG01806,HG01806,137,-0.0225066,0.0119121
HG01807,HG01807,138,-0.0248274,0.0155498
HG01808,HG01808,139,-0.0220113,0.01826
HG01809,HG01809,140,-0.0228811,0.0189396
HG01810,HG01810,141,-0.0226095,0.0123586
HG01811,HG01811,142,-0.0213951,0.0168873
HG01812,HG01812,143,-0.0228331,0.0163972
HG01813,HG01813,144,-0.0196446,0.0184082
HG01815,HG01815,145,-0.0222864,0.0135981
HG01816,HG01816,146,-0.0223561,0.0217346
HG01817,HG01817,147,-0.0226237,0.0138433
HG01840,HG01840,148,-0.0121904,-0.00395655
HG01841,HG01841,149,-0.0148333,-0.00602334
HG01842,HG01842,150,-0.0152746,-0.00926319
HG01843,HG01843,151,-0.0154179,-0.00977364
HG01844,HG01844,152,-0.0144863,-0.00759685
HG01845,HG01845,153,-0.0138926,-0.007526
HG01846,HG01846,154,-0.0137943,-0.00876194
HG01847,HG01847,155,-0.0180693,-0.00236342
HG01848,HG01848,156,-0.0134875,-0.00447869
HG01849,HG01849,157,-0.0167899,-0.00496533
HG01850,HG01850,158,-0.0142305,-0.00812638
HG01851,HG01851,159,-0.0160235,-0.00465634
HG01852,HG01852,160,-0.0150765,-0.00630519
HG01853,HG01853,161,-0.0164151,-0.0060133
HG01855,HG01855,162,-0.0126396,-0.00339218
HG01857,HG01857,163,-0.01516,-0.00255141
HG01858,HG01858,164,-0.0140962,-0.00294058
HG01859,HG01859,165,-0.0139255,-0.00517901
HG01860,HG01860,166,-0.0174785,-0.00883983
HG01861,HG01861,167,-0.0120645,-0.0063032
HG01862,HG01862,168,-0.0117775,-0.00878513
HG01863,HG01863,169,-0.0119413,-0.0160858
HG01864,HG01864,170,-0.0140487,-0.0152612
HG01865,HG01865,171,-0.0168954,-0.0158163
HG01866,HG01866,172,-0.0143879,-0.0195446
HG01867,HG01867,173,-0.0164029,-0.0219153
HG01868,HG01868,174,-0.0165268,-0.0140029
HG01869,HG01869,175,-0.0162191,-0.016933
HG01870,HG01870,176,-0.0161617,-0.0208419
HG01871,HG01871,177,-0.0156851,-0.0237935
HG01872,HG01872,178,-0.00866357,-0.0257882
HG01873,HG01873,179,-0.0135269,-0.0234766
HG01874,HG01874,180,-0.0133913,-0.0249252
HG01878,HG01878,181,-0.0157939,-0.0190143
HG02016,HG02016,182,-0.0177676,-0.0249067
HG02017,HG02017,183,-0.0155916,-0.0167063
HG02019,HG02019,184,-0.0148089,-0.0170596
HG02020,HG02020,185,-0.016546,-0.0187709
HG02023,HG02023,186,-0.0182573,-0.0188883
HG02025,HG02025,187,-0.0147233,-0.0178013
HG02026,HG02026,188,-0.0162763,-0.0216135
HG02028,HG02028,189,-0.0146607,-0.0183326
HG02029,HG02029,190,-0.00404614,-0.0069447
HG02031,HG02031,191,-0.00999165,-0.00552347
HG02032,HG02032,192,-0.00438032,0.00233081
HG02035,HG02035,193,-0.0160546,-0.0209181
HG02040,HG02040,194,-0.0135775,-0.016963
HG02047,HG02047,195,-0.0171655,-0.0195354
HG02048,HG02048,196,-0.0150728,-0.0276934
HG02049,HG02049,197,-0.0184523,-0.0251397
HG02050,HG02050,198,-0.0137732,-0.00522404
HG02057,HG02057,199,-0.0146735,-0.0215295
HG02058,HG02058,200,-0.0141272,-0.0223348
HG02060,HG02060,201,-0.0160791,-0.00520448
HG02061,HG02061,202,-0.0147107,-0.00594154
HG02064,HG02064,203,-0.0149539,-0.0064123
HG02067,HG02067,204,-0.0152638,-0.00840223
HG02069,HG02069,205,-0.0162987,-0.022769
HG02070,HG02070,206,-0.0168063,-0.0210685
HG02072,HG02072,207,-0.0143726,-0.0248511
HG02073,HG02073,208,-0.0126219,-0.018028
HG02075,HG02075,209,-0.0133329,-0.0210253
HG02076,HG02076,210,-0.0168906,-0.0190937
HG02078,HG02078,211,-0.0173024,-0.0250237
HG02079,HG02079,212,-0.0153143,-0.0171834
HG02081,HG02081,213,-0.0160169,-0.020934
HG02082,HG02082,214,-0.00345335,-0.0187662
HG02084,HG02084,215,-0.0152817,-0.0214947
HG02085,HG02085,216,-0.0153953,-0.0182249
HG02086,HG02086,217,-0.0151741,-0.0191239
HG02087,HG02087,218,-0.0147221,-0.0169414
HG02088,HG02088,219,-0.0145177,-0.0180058
HG02113,HG02113,220,-0.0156519,-0.0231752
HG02116,HG02116,221,-0.0135549,-0.0170499
HG02121,HG02121,222,-0.0170969,-0.0201111
HG02122,HG02122,223,0.000174854,-0.0144524
HG02127,HG02127,224,-0.0156546,-0.0170897
HG02128,HG02128,225,-0.0134595,-0.0235716
HG02130,HG02130,226,-0.0155724,-0.00745766
HG02131,HG02131,227,-0.0165287,-0.00584891
HG02133,HG02133,228,-0.0170995,-0.0103428
HG02134,HG02134,229,-0.0135865,-0.00607847
HG02136,HG02136,230,-0.0153286,-0.00456992
HG02137,HG02137,231,-0.0159591,-0.000941175
HG02138,HG02138,232,-0.01494,-0.0313358
HG02139,HG02139,233,-0.0156183,-0.0200632
HG02140,HG02140,234,-0.0121959,-0.0271619
HG02141,HG02141,235,-0.0131065,-0.023992
HG02142,HG02142,236,-0.00987897,-0.0176481
HG02151,HG02151,237,-0.023499,0.0154403
HG02152,HG02152,238,-0.0239857,0.00532308
HG02153,HG02153,239,-0.0209871,-0.00102164
HG02154,HG02154,240,-0.0232677,0.000812459
HG02155,HG02155,241,-0.020091,0.00375972
HG02156,HG02156,242,-0.0239448,0.011233
HG02164,HG02164,243,-0.0210273,0.000641322
HG02165,HG02165,244,-0.0168331,-0.00155787
HG02166,HG02166,245,-0.0244528,0.00401384
HG02178,HG02178,246,-0.0252444,0.00121261
HG02179,HG02179,247,-0.0208556,-0.00124756
HG02180,HG02180,248,-0.021768,0.00350564
HG02181,HG02181,249,-0.0246504,0.00181823
HG02182,HG02182,250,-0.0238976,0.00776484
HG02184,HG02184,251,-0.0211565,0.000847947
HG02185,HG02185,252,-0.0189043,0.0046663
HG02186,HG02186,253,-0.0210143,0.00175839
HG02187,HG02187,254,-0.0232164,0.00202692
HG02188,HG02188,255,-0.0243109,0.00431149
HG02190,HG02190,256,-0.0226999,0.000436187
HG02250,HG02250,257,-0.0219711,0.0144506
HG02351,HG02351,258,-0.0243714,0.00391094
HG02353,HG02353,259,-0.0225368,0.0252234
HG02355,HG02355,260,-0.022484,0.0112758
HG02356,HG02356,261,-0.0228788,0.0181212
HG02360,HG02360,262,-0.0207387,0.0074071
HG02364,HG02364,263,-0.0250903,0.0110489
HG02367,HG02367,264,-0.024259,0.00741745
HG02371,HG02371,265,-0.0225478,0.0104732
HG02373,HG02373,266,-0.0238853,0.0173765
HG02374,HG02374,267,-0.0214313,0.0109733
HG02375,HG02375,268,-0.0276683,0.0201293
HG02379,HG02379,269,-0.0242555,0.0245849
HG02380,HG02380,270,-0.023256,0.018438
HG02382,HG02382,271,-0.0232073,0.00733613
HG02383,HG02383,272,-0.0242847,0.016689
HG02384,HG02384,273,-0.0235771,0.0131923
HG02385,HG02385,274,-0.0227758,0.0182192
HG02386,HG02386,275,-0.0166706,0.0122578
HG02389,HG02389,276,-0.0221867,0.0126079
HG02390,HG02390,277,-0.0232407,0.0116774
HG02391,HG02391,278,-0.023957,0.0183132
HG02392,HG02392,279,-0.0227699,0.00952382
HG02394,HG02394,280,-0.023129,0.0114996
HG02395,HG02395,281,-0.0238472,0.0166548
HG02396,HG02396,282,-0.024848,0.00632714
HG02397,HG02397,283,-0.0205621,0.01169
HG02398,HG02398,284,-0.0213482,0.0128094
HG02399,HG02399,285,-0.0231382,0.011268
HG02401,HG02401,286,-0.0230163,0.011057
HG02402,HG02402,287,-0.0239952,0.0198058
HG02406,HG02406,288,-0.0217234,0.00874122
HG02407,HG02407,289,-0.0211159,0.0130424
HG02408,HG02408,290,-0.0253188,-0.00314235
HG02409,HG02409,291,-0.0217643,0.00624235
HG02410,HG02410,292,-0.0234367,-0.0019155
HG02512,HG02512,293,-0.0141239,-0.014754
HG02513,HG02513,294,-0.0187527,-0.00778692
HG02521,HG02521,295,-0.0136524,-0.0203065
HG02522,HG02522,296,-0.0177207,-0.0174506
NA18525,NA18525,297,0.0203474,-0.00885239
NA18526,NA18526,298,0.0144381,0.00267281
NA18528,NA18528,299,0.0292029,-0.00824878
NA18530,NA18530,300,0.0288132,0.0103581
NA18531,NA18531,301,0.0299522,-0.00603539
NA18532,NA18532,302,0.0222089,0.00344429
NA18533,NA18533,303,0.0118897,0.000400534
NA18534,NA18534,304,0.028479,0.00493829
NA18535,NA18535,305,0.0288883,-0.00334135
NA18536,NA18536,306,0.0164599,0.00300292
NA18537,NA18537,307,0.0237107,0.0063912
NA18538,NA18538,308,0.0302023,-0.0023738
NA18539,NA18539,309,0.0327724,0.00202465
NA18541,NA18541,310,0.0310995,-0.00056092
NA18542,NA18542,311,0.0299998,0.0048956
NA18543,NA18543,312,0.0116738,0.00723486
NA18544,NA18544,313,0.0285292,0.00650449
NA18545,NA18545,314,0.0122996,0.00974381
NA18546,NA18546,315,0.0296948,-0.0029069
NA18547,NA18547,316,0.0299719,0.00132179
NA18548,NA18548,317,0.0306382,0.00237312
NA18549,NA18549,318,0.0103998,0.0103766
NA18550,NA18550,319,-0.00409937,0.00463003
NA18552,NA18552,320,0.0180998,0.00431086
NA18553,NA18553,321,0.0260538,-0.00855523
NA18555,NA18555,322,0.0145762,0.00262382
NA18557,NA18557,323,0.0303771,0.00977897
NA18558,NA18558,324,0.0277789,0.0104262
NA18559,NA18559,325,0.0216986,0.00693573
NA18560,NA18560,326,0.0135696,0.00151932
NA18561,NA18561,327,0.0295216,0.00320323
NA18562,NA18562,328,0.030219,0.00187213
NA18563,NA18563,329,0.030881,0.00325041
NA18564,NA18564,330,0.030125,0.000670174
NA18565,NA18565,331,0.0114839,0.00323275
NA18566,NA18566,332,0.026583,0.00330525
NA18567,NA18567,333,0.0284054,-0.00327714
NA18570,NA18570,334,0.0145573,0.00299122
NA18571,NA18571,335,0.00976284,0.00363227
NA18572,NA18572,336,0.0291073,0.00162121
NA18573,NA18573,337,0.0154363,-0.000479981
NA18574,NA18574,338,0.0320263,-0.00123641
NA18577,NA18577,339,0.0225364,0.00488486
NA18579,NA18579,340,0.029762,0.00138681
NA18582,NA18582,341,0.0119305,0.00749377
NA18591,NA18591,342,0.0131298,-0.00525492
NA18592,NA18592,343,0.0285891,0.000739071
NA18593,NA18593,344,0.0251397,0.00404335
NA18595,NA18595,345,0.0306165,0.00403369
NA18596,NA18596,346,0.0312213,0.00379429
NA18597,NA18597,347,0.0270672,0.00601449
NA18599,NA18599,348,0.0306978,0.00162903
NA18602,NA18602,349,0.0300472,0.00104351
NA18603,NA18603,350,0.0177803,0.00308951
NA18605,NA18605,351,0.028591,0.000909619
NA18606,NA18606,352,0.00944204,0.0155265
NA18608,NA18608,353,0.0283558,0.0004753
NA18609,NA18609,354,0.0295739,0.00213033
NA18610,NA18610,355,0.0249554,0.00471688
NA18611,NA18611,356,0.0288841,0.00319951
NA18612,NA18612,357,0.0302779,0.00203866
NA18613,NA18613,358,0.0282144,0.00437888
NA18614,NA18614,359,0.0233507,-0.00120829
NA18615,NA18615,360,0.028648,-0.00629113
NA18616,NA18616,361,0.0154078,-0.00229852
NA18617,NA18617,362,0.0148953,-0.00497071
NA18618,NA18618,363,0.0299779,-0.0047015
NA18619,NA18619,364,0.0296016,-0.00483687
NA18620,NA18620,365,0.0288059,0.00295257
NA18621,NA18621,366,0.0310236,0.00728804
NA18622,NA18622,367,0.0241974,-0.00321915
NA18623,NA18623,368,0.0308321,-0.0012563
NA18624,NA18624,369,0.0277773,0.00223643
NA18625,NA18625,370,0.0277553,-0.00540106
NA18626,NA18626,371,0.029214,-0.0103284
NA18627,NA18627,372,0.0145097,-0.00798072
NA18628,NA18628,373,-0.00324266,-0.00315043
NA18629,NA18629,374,0.021664,-0.00375166
NA18630,NA18630,375,0.00576181,-0.00205238
NA18631,NA18631,376,0.0185046,-0.00242022
NA18632,NA18632,377,0.0114118,0.00280875
NA18633,NA18633,378,0.0229526,0.00374341
NA18634,NA18634,379,0.014125,0.00198646
NA18635,NA18635,380,0.0302554,0.00236564
NA18636,NA18636,381,0.00702729,0.00524447
NA18637,NA18637,382,0.0149489,-0.00402373
NA18638,NA18638,383,0.0151875,0.000453105
NA18639,NA18639,384,0.00896766,-0.00797205
NA18640,NA18640,385,0.0279387,-0.00491124
NA18641,NA18641,386,0.0252839,-0.00730685
NA18642,NA18642,387,0.0278464,-0.0121962
NA18643,NA18643,388,0.0292891,-0.00591583
NA18644,NA18644,389,0.0186676,-0.00350832
NA18645,NA18645,390,0.0180324,-0.00826676
NA18646,NA18646,391,0.0292603,-0.0127594
NA18647,NA18647,392,0.0260616,-0.013562
NA18648,NA18648,393,0.0300024,-0.0074893
NA18740,NA18740,394,0.00865516,-0.0040524
NA18745,NA18745,395,0.0277199,-0.00791695
NA18747,NA18747,396,0.018403,-0.00992102
NA18748,NA18748,397,0.0163535,-0.00753616
NA18749,NA18749,398,0.0312501,-0.0123298
NA18757,NA18757,399,0.0279272,-0.00790693